,0,1
251,5.0,4.0
252,6.0,6.0
253,6.0,6.0
254,6.0,6.0
255,5.0,5.0
256,5.0,5.0
257,5.0,4.0
258,5.0,5.0
259,6.0,5.0
260,6.0,6.0
261,5.0,5.0
262,6.0,5.0
263,5.0,5.0
264,5.0,4.0
265,6.0,6.0
266,6.0,5.0
267,5.0,5.0
268,5.0,6.0
269,6.0,6.0
270,5.0,5.0
271,6.0,6.0
272,5.0,5.0
273,7.0,6.0
274,5.0,6.0
275,6.0,5.0
276,5.0,5.0
277,6.0,6.0
278,5.0,5.0
279,5.0,5.0
280,7.0,6.0
281,6.0,4.0
282,6.0,4.0
283,5.0,5.0
284,5.0,6.0
285,6.0,5.0
286,5.0,6.0
287,5.0,5.0
288,5.0,5.0
289,6.0,5.0
290,5.0,6.0
291,6.0,6.0
292,6.0,6.0
293,6.0,5.0
294,6.0,6.0
295,6.0,7.0
296,5.0,5.0
297,7.0,5.0
298,5.0,5.0
299,5.0,5.0
300,6.0,6.0
301,6.0,6.0
302,5.0,5.0
303,6.0,5.0
304,5.0,6.0
305,6.0,6.0
306,5.0,5.0
307,7.0,5.0
308,6.0,5.0
309,5.0,5.0
310,5.0,5.0
311,6.0,5.0
312,5.0,6.0
313,7.0,6.0
314,6.0,6.0
315,6.0,5.0
316,5.0,5.0
317,5.0,5.0
318,6.0,7.0
319,6.0,6.0
